               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099577,             0.01481,            0.032531,             0.82842,             0.24919,             0.26874,             0.12996,            0.066321,            0.014348,             0.01633,            0.070018,           0.0033313,           0.0033313
                   1,            0.078959,            0.012895,            0.016537,             0.67718,             0.37788,             0.36913,             0.17687,            0.059379,            0.013459,            0.011662,            0.039359,           0.0060048,           0.0060048
                   2,            0.073901,            0.012526,            0.012953,              0.7266,             0.36352,             0.37473,             0.18788,             0.05845,             0.01336,            0.010491,           0.0080389,           0.0080184,           0.0080184
                   3,            0.069436,            0.012376,            0.011704,             0.76984,             0.39279,             0.42746,             0.21369,            0.054818,             0.01291,            0.010657,             0.00703,             0.00703,             0.00703
                   4,            0.066212,             0.01223,            0.010647,             0.72749,             0.39768,             0.43835,             0.22914,            0.052544,            0.012957,           0.0087755,             0.00703,             0.00703,             0.00703
                   5,             0.06275,            0.011688,           0.0096166,             0.54091,              0.4793,             0.47493,             0.24758,              0.0514,             0.01243,           0.0084525,             0.00604,             0.00604,             0.00604
                   6,            0.059476,            0.011336,           0.0086133,             0.62699,             0.52676,             0.52761,             0.27485,             0.04958,            0.012099,           0.0072571,             0.00505,             0.00505,             0.00505
                   7,            0.057109,            0.011039,            0.007715,             0.63377,             0.53466,              0.5297,             0.28754,             0.04826,            0.011875,           0.0069992,             0.00406,             0.00406,             0.00406
                   8,            0.055137,            0.010715,           0.0069142,             0.59596,              0.5259,             0.54055,              0.2935,             0.04736,            0.011599,           0.0062667,             0.00307,             0.00307,             0.00307
                   9,            0.053615,            0.010353,           0.0063522,             0.61426,             0.54928,             0.55142,             0.30193,            0.046954,            0.011405,           0.0064156,             0.00208,             0.00208,             0.00208
